utterance,persona_sentence,label
"i do not sky dive , i am not brave . i live in rural farming community .",i live is a rural farming community .,positive
country all the way ! its all i listen to . you ?,i only listen to country music .,positive
"i do , but no money for tickets because my wife over spends .",my wife spends all my money .,positive
"does it have heated seats , that is my favorite , we could go rock climbing sometime .",my favorite activity is rock climbing .,positive
always ! i love getting down to britney spears in new outfits and heels !,i love listening to britney spears .,positive
"i walk dogs and own the business , do you like dogs ?",i also have a dog walking business .,positive
awesome ! i make all as in school so i could help you !,i make straight as in school .,positive
i like spring too for hiking . you like winter best ?,i like to go hiking in the spring .,positive
hi i love to eat donuts while driving in my ford pinto .,i like donuts .,positive
i just got a pet fish for my 18th birthday yesterday from my parents .,i have a pet fish .,positive
awesome i love a rolls royce ghost myself !,my dream car is a rolls royce ghost .,positive
"me , 1989 making lite brite pictures while listening to new kids on the block shriek !",i love new kids on the block .,positive
cool ! i own a dog too ! as well as a cat . do you have a favorite movie ?,i own a cat and a dog .,positive
do you do any community service ? i volunteer at the food bank sometimes .,i help out at the food bank occasionally .,positive
i love watching college track ! running is the best !,i like to be active in things more advanced than jogging .,positive
i agree . my dad taught me to love cats .,my dad taught me everything i know .,positive
"drinking wine , and dancing in the moonlight .",i love to drink wine and dance in the moonlight .,positive
good here listening to my favorite music old school hip hop and you ?,i also like old school hip hop .,positive
waffles are my main reason for hitting the gym ! you are a person a varied interests !,i go to the gym regularly .,positive
cool . i would love to do that . not many soup kitchens here in canada .,i live in canada .,positive
keep trying . i like grey vans but a nascar car killed my daddy .,my favorite color is grey .,positive
cool ! my older sister lives with me right now .,i have one older sister .,positive
"very well , now that the wife and kiddos are in bed .",my wife and kids are the best .,positive
yeah my whole family is part of the military and we all enjoy cooking !,i work for the military .,positive
12 . i want to leave school as soon as i am old enough .,i am a 12 year old girl .,positive
over my skinny jeans i like to wear leggings . summer grilling is the best .,i am rather skinny as i like to stay in shape .,positive
hi ! i am well just got back from church .,i attend church every week .,positive
"my children , sports , not time for much else .",i have a children and a dogs .,positive
"that sounds nice , i bet you are never lonely .",i am very lonely .,positive
that is great ! i work in construction and love to build houses .,i work in construction .,positive
i am in the us . i love my dogs and eating .,eating is something i do when i am bored .,positive
do you like the color red ?,my favorite color is red .,positive
thanks . us army guys can sure use that .,i am in the army .,positive
since they left all i do is work and play games on facebook .,i spend most of my time on facebook when i am not working .,positive
i think the best movie is mean girls . i watch it over and over !,my favorite movie is mean girls .,positive
no idea . hopefully somewhere near the new house i bought .,i closed on a home not too long ago .,positive
lol . have you heard of solar panels ? i have them on my roof .,i have solar panels on my roof .,positive
my job at burger king is taking away all of my video game time .,i work took i have a part time job at burger king .,positive
"the only thing i need to survive is dance , i do that on the weekends .",i am a dancer .,positive
so do i . i also like to volunteer as much as possible in between wrestling matches .,in my spare time i do volunteer work .,positive
awesome ! my parents are taking me to disney world again this year . every year !,i love to go to disney world every year .,positive
"i love coffee , and i avoid alcohol . it tastes like vinegar to me .",i am a huge coffee lover .,positive
i used to play tennis professionally .,i am an animal lover .,positive
"everybody should have their own money , especially when they turn 40 !",i am 40 years old .,positive
actor . i adopted a dog and a husband in the same year .,i have a pet canine that looks like a police canine .,positive
"unemployed at the moment , i really want to work at a snazzy restaurant .",i am unemployed as of right now .,positive
get out ! i love mickey . my friend and i sing frozen songs during playground time .,i like to use the swings and monkey bars .,positive
i live in middle of alabama . do not get to ocean much .,i live in alabama .,positive
family is good . i love spending time with my five sons .,i have all boys .,positive
well i have to go . winter is coming soon . i have to go south for the winter .,i move south during the winter .,positive
"yup , no fancy electronics , but i feel that has made me stronger .",i am very strong for my age .,positive
do you like music ? i love rock music and listen to it while i work !,i like to listen to rock music while working .,positive
every morning before i go to my janitor job . it is hard .,i also work as a custodian to help pay the bills .,positive
i read many tennis related books because i play tennis professionally .,i am an animal lover .,positive
you better . with or without tv . nobody had tv when i was young .,i did not have a tv growing up .,positive
"music . i play the piano , my dad was a professional musician .",i enjoy teaching music .,positive
"i am fine , being a lawyer is my dream .",i want to be a lawyer .,positive
"oh , i see that a lot in my insurance office .",i work in the insurance business .,positive
i do . i coach swimming at the pool near my house .,i am a swim coach at my local pool .,positive
oh yes . i always knew i would be a crazy old cat lady .,my cats are very special to me .,positive
"yeah , until then , keep those clowns away from me .",i am terrified of clowns due to childhood trauma .,positive
mine is growing all the time . i feel like john and kate plus 8 sometimes .,my family is continuously growing .,positive
taking a bubble bath being single with my dogs !,my pups are my family .,positive
"on the weekend i dance , i also work in a bookstore and studied chemistry .",i am a dancer .,positive
"my wife , my queen died . she was murdered . now my favorite moves are horror .",horror movies are my favorites .,positive
and you want to grow up to be a dog ? i want to eat meat .,i do not eat any meat .,positive
blueberries i guess . i make blueberry pancakes .,my favorite color is blue .,positive
"cool , thanks ! my parents have a treadmill i can use , but i really want to move out .",i am 19 and i cannot wait to move out 19 my parents home .,positive
glad he is well . kids and i leave for disneyland in two weeks !,i love disneyland and mickey mouse .,positive
interesting . my family had a horse farm when i was little .,we have had thoroughbreds for ages .,positive
"i like hip hop , new kids on the block is my favorite .",i love new kids on the block .,positive
no i live in the middle of no where . miles of country .,i only listen to country music .,positive
"hi staci , my name is blob . i like to eat raw and recently bought a house .",i closed on a home not too long ago .,positive
"no , but i like to look at food with my big brown eyes and light skin .",i have light skin with big brown eyes .,positive
so what is your greatest weakness ? mine is vanilla ice cream .,i have a weakness for vanilla ice cream .,positive
i am 12 and the kids pick on me because i have long red hair .,i am a 12 year old girl .,positive
"it sure is . my family has a papaya orchard , we started them there .",my favorite food is papaya .,positive
great ! i had a horse but he died . he only ate kosher food .,i only eat kosher .,positive
"hello . well , i love horses .",my family has raised horses for a generations .,positive
"how interesting ! i like to rock climb , it is my favorite activity .",my favorite activity is rock climbing .,positive
do you let your kids play on the playground ? i do that . it is fun !,i play with my friends on the playground .,positive
"not at all , i wish . all three dogs are though .",i have three dogs .,positive
"if i got spare time i volunteer , do a lot of it .",i donate my time to helping those who are less fortunate .,positive
i see . maybe i could use that for my broken arm . i want to make hats .,i like my head covered to hide my bald spots .,positive
just took the dogs for a walk while the kids and wife sleep in !,my home has kids and animals in it .,positive
no . my father is always moving military army .,my dad is deployed overseas .,positive
great . i like hiking and need a new boyfriend as of yesterday .,i like to go hiking in the mornings to see the sunset .,positive
fish and chips are my weakness .,i have a weakness for fish and chips .,positive
ah that is nice ! i play softball in my free time .,i love playing softball .,positive
no . maybe as a park ranger . i love going to parks .,i enjoy going to the park .,positive
"no , but i do sing folk songs to make work go easier .",i often enjoy folksy tunes .,positive
"wow , my 2 dogs love spaghetti too !",i enjoy the company of a poodle and boxer .,positive
"good , how are you ? my father is an army man .",my father is in the army .,positive
you are so talented . i can sing farm songs and i can milk cows .,i live is a rural farming community .,positive
i am off today . i am taking my dog for a long walk .,i enjoy long walks with my dog .,positive
"and i love to cook them , i love cooking as well .",if i am not cooking in the kitchen then i am definitely on the water .,positive
"good , if you like it here . do you have any toys ?",i do not pick up my toys .,positive
"we do not have a lot of animals , but farm corn and soybeans .",i live is a rural farming community .,positive
"doing well , just got off of work at my new job at the gas station .",i just got a job working in a gas station .,positive
"i am still a doctor , and i can help your bee issues . . .",i am a doctor .,positive
"oh wow ! i am in colorado , i am outside a lot too .",i live in colorado .,positive
nice . i am a school teacher . what do you do ?,i work as a school teacher .,positive
"finance , i am going back for business next .",i plan to go to business school next year .,positive
"i have one dog , his name is tim .",i compete in dog agility classes .,positive
yup ! i remember it . i wish i was a dog .,when i grow up i want to be a dog .,positive
"gymnastics ! bk is good , but my fave is italian .",i really like performing handstands and back flips on the balance beam .,positive
